job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
电商客服,上海寓尚电子商务有限公司,民营公司,6.5-8千/月,上海-浦东新区,做五休二 加班补贴 餐饮补贴 节日福利 绩效奖金 周末双休 弹性工作 带薪年假 五险一金 年终奖金,10-14,"['上海-浦东新区', '1年经验', '高中', '招5人']"
采购工程师,欧颂德婴童用品（湖北）有限公司,民营公司,6-8千/月,武汉-蔡甸区,带薪年假 节日福利 全勤奖 绩效奖金 五险一金,10-14,"['武汉-蔡甸区', '2年经验', '大专', '招1人']"
社群运营,武汉星宝琪电子商务有限公司,民营公司,6-8千/月,武汉-东湖新技术产业开发区,带薪年假 节日福利 交通补贴 绩效奖金 做五休二 餐饮补贴 年终奖金 五险一金 股票期权,10-14,"['武汉-东湖新技术产业开发区', '3-4年经验', '大专', '招5人']"
客服主管,觅优云平台,民营公司,0.8-1万/月,上海-普陀区,,10-14,"['上海-普陀区', '5-7年经验', '大专', '招若干人']"
产品开发经理,广州萨维兰网络科技有限公司,民营公司,1.3-2万/月,广州-白云区,五险一金 员工旅游 专业培训 年终奖金 大小周,10-14,"['广州-白云区', '3-4年经验', '本科', '招1人']"
电话销售,艾尼斯控股有限公司,民营公司,1.5-2万/月,苏州-相城区,专业培训 餐饮补贴 绩效奖金,10-14,"['苏州-相城区', '无需经验', '高中', '招20人']"
地推专员,江苏日淘电子商务有限公司,民营公司,6-8千/月,无锡-无锡新区,五险一金 节日福利 餐饮补贴 通讯补贴,10-14,"['无锡-无锡新区', '无需经验', '招3人']"
运营助理,上海家臣实业有限公司,民营公司,6-8千/月,上海-嘉定区,,10-14,"['上海-嘉定区', '2年经验', '大专', '招若干人']"
天猫运营,浙江欧伦电气有限公司,民营公司,0.6-1.2万/月,杭州-余杭区,带薪年假 绩效奖金 包住宿 五险一金 包吃 有发展前景,10-14,"['杭州-余杭区', '1年经验', '大专', '招1人']"
亚马逊站外推广及测评专员,鲍洱（杭州）跨境电子商务有限责任公司,外资（欧美）,1-1.5万/月,深圳-龙岗区,五险一金 年终奖金 加班工资 加班餐补 带薪年假 绩效奖金,10-14,"['深圳-龙岗区', '3-4年经验', '本科', '招1人']"
天猫淘宝运营,宁波摩菲电器有限公司,民营公司,6-8千/月,宁波-慈溪市,五险一金 绩效奖金,10-14,"['宁波-慈溪市', '2年经验', '大专', '招4人']"
美工,上海窖酒来科技有限公司,民营公司,5-6千/月,上海-奉贤区,五险一金 做五休二,10-14,"['上海-奉贤区', '1年经验', '大专', '招1人']"
